Invoice_Number,Invoice_Date,Customer_Name,Item_Code,Item_Name,Unit_Price,Public_Price,Discount_Pct,Total_Amount,Anomaly_Score
8941,2026-06-14 14:20:00,مصطفي نينو 1260,3349,سوفاج داميش 682559,3995.0,4700.0,15.0,1997.5,-0.19139997099455752
7422,2026-05-20 13:06:00,مصطفي نينو 1260,2117,انفكتس ديلبرج 8938,3795.3,4465.0,15.0,1897.6,-0.18387148769870143
4792,2026-03-31 15:40:00,مصطفي نينو 1260,2017,مخزن كبسولة 50 ملي شفاف,18.0,18.0,0.0,1620.0,-0.09894705214652166
1855,2026-02-11 12:53:00,مصطفي نينو 1260,2388,عود ابيض اي هي اي 7014,6147.0,6830.0,10.0,768.38,-0.08193609061568885
8941,2026-06-14 14:20:00,مصطفي نينو 1260,2911,ليبر بس لوزي,6305.0,6500.0,3.0,788.13,-0.07417542089698426
1855,2026-02-11 12:53:00,مصطفي نينو 1260,3107,بدى اسبلاش 250,116.0,116.0,0.0,1392.0,-0.06438066320220692
5793,2026-04-20 16:58:00,مصطفي نينو 1260,4457,ميجامار اورتو باريس تكنوفلور 6935,6250.0,6250.0,0.0,125.0,-0.043164603056790596
4792,2026-03-31 15:40:00,مصطفي نينو 1260,2793,ESE530 بكارت روج,6561.0,6561.0,0.0,328.05,-0.033480248240862265
7422,2026-05-20 13:06:00,مصطفي نينو 1260,4167,لابيل جان بول جوتيية لوزي,5577.5,5750.0,3.0,697.19,-0.015204855044213761
6430,2026-05-03 17:38:00,مصطفي نينو 1260,2262,اي دول لانكوم لوزي,5975.0,5975.0,0.0,746.88,-0.007701172362868269
7422,2026-05-20 13:06:00,مصطفي نينو 1260,1777,مسك الطهارة حامل المسك,31.5,31.5,0.0,1134.0,-0.005240812168875508
1855,2026-02-11 12:53:00,مصطفي نينو 1260,1538,بوم اكستريم لوزي,5213.8,5375.0,3.0,651.72,-0.002284602047309958
4064,2026-03-17 14:02:00,مصطفي نينو 1260,2194,فرى سكس ناو ESE102,2826.9,3141.0,10.0,706.73,-0.00016321426352650104
